dst_x	dst_y
3.30866	2.47793
3.29064	2.46059
3.27263	2.44326
3.25462	2.42592
3.2366	2.40859
3.21859	2.39125
3.20057	2.37392
3.18256	2.35658
3.16455	2.33925
3.14653	2.32191
3.12852	2.30458
3.1105	2.28724
3.09249	2.26991
3.07448	2.25257
3.05646	2.23524
3.03845	2.21791
3.02043	2.20057
3.00242	2.18324
2.98441	2.1659
2.96639	2.14857
2.94838	2.13123
2.93395	2.11735
1.0	2.0
2.91235	2.09656
2.89434	2.07923
2.87632	2.06189
2.85831	2.04456
2.8403	2.02722
2.82228	2.00989
2.80427	1.99256
2.78625	1.97522
2.76824	1.95789
2.75023	1.94055
2.73221	1.92322
2.7142	1.90588
2.69618	1.88855
2.67817	1.87121
2.66016	1.85388
2.64214	1.83654
2.62413	1.81921
2.60611	1.80187
2.5881	1.78454
2.57008	1.7672
2.55207	1.74987
2.53406	1.73253
2.51604	1.7152
2.49803	1.69786
2.48001	1.68053
2.462	1.66319
2.44399	1.64586
2.42597	1.62852
2.40796	1.61119
2.38994	1.59386
2.37193	1.57652
2.35392	1.55919
2.3359	1.54185
2.31789	1.52452
2.29987	1.50718
2.28186	1.48985
2.26385	1.47251
2.24583	1.45518
2.22782	1.43784
2.2098	1.42051
2.19179	1.40317
2.17378	1.38584
2.15576	1.3685
2.13775	1.35117
2.11973	1.33383
2.10172	1.3165
2.08371	1.29916
2.06569	1.28183
2.04768	1.26449
2.02966	1.24716
2.01165	1.22982
1.99364	1.21249
1.97562	1.19515
1.95761	1.17782
1.93959	1.16049
1.92158	1.14315
1.90357	1.12582
1.88555	1.10848
1.86754	1.09115
1.84952	1.07381
1.83151	1.05648
1.8135	1.03914
1.79548	1.02181
1.77747	1.00447
1.75945	0.987137
1.74144	0.969802
1.72343	0.952468
1.70541	0.935133
1.6874	0.917798
1.66938	0.900463
1.65137	0.883128
1.63336	0.865794
1.61534	0.848459
1.59733	0.831124
1.57931	0.813789
1.5613	0.796454
1.54329	0.77912
1.52527	0.761785
1.50726	0.74445
1.48924	0.727115
1.47123	0.70978
1.45321	0.692446
1.43521	0.675116
1.45984	0.679395
1.48447	0.683674
1.5091	0.687952
1.53374	0.692231
1.55837	0.69651
1.583	0.700789
1.60763	0.705068
1.63226	0.709347
1.65689	0.713625
1.68152	0.717904
1.70615	0.722183
1.73078	0.726462
1.75542	0.730741
1.78005	0.73502
1.80468	0.739298
1.82931	0.743577
1.85394	0.747856
1.87857	0.752135
1.9032	0.756414
1.92783	0.760693
1.95246	0.764971
1.9771	0.76925
2.00173	0.773529
2.02636	0.777808
2.05099	0.782087
2.07562	0.786365
2.10025	0.790644
2.12488	0.794923
2.14951	0.799202
2.17414	0.803481
2.19878	0.80776
2.22341	0.812038
